Player,Raises,Folds,Win Rate,Total Earnings,Avg Earnings (Per Round)
Risk Averse,20.0,80.0,40.0,1700,340.0
Risk Seeking,40.0,60.0,0.0,-1700,-340.0
Loss Averse,0.0,100.0,20.0,400,80.0
Optimistic,20.0,80.0,20.0,-200,-40.0
Rational,20.0,80.0,20.0,-200,-40.0
